date,time,pressure,pressure_setpoint,mfc1_,mfc2_,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2020-03-17_13-25-46,21.739,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-48,21.773,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-25-50,21.806,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-52,21.839,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-54,21.872,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-25-56,21.906,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-58,21.939,,,,,4.924,2.0,,,,,,,,cupcts
2020-03-17_13-26-00,21.973,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-02,22.006,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-04,22.039,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-06,22.073,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-08,22.105,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-10,22.139,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-12,22.172,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-14,22.205,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-16,22.239,,,,,4.892,2.0,,,,,,,,cupcts
2020-03-17_13-26-18,22.273,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-20,22.305,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-22,22.339,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-26-24,22.373,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-26,22.406,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-28,22.44,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-30,22.473,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-32,22.507,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-34,22.54,,,,,4.816,2.0,,,,,,,,cupcts
2020-03-17_13-26-36,22.573,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-38,22.607,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-40,22.64,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-42,22.674,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-44,22.706,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-46,22.74,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-48,22.774,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-50,22.807,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-52,22.841,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-54,22.874,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-56,22.908,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-58,22.941,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-00,22.973,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-02,23.008,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-04,23.041,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-06,23.074,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-08,23.108,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-10,23.14,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-12,23.174,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-14,23.208,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-16,23.241,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-18,23.274,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-20,23.308,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-22,23.34,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-24,23.374,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-26,23.407,,,,,4.859,2.0,,,,,,,86741000.0,cupcts
2020-03-17_13-27-28,23.441,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-27-30,23.474,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-32,23.509,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-34,23.541,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-36,23.576,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-38,23.609,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-40,23.641,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-42,23.676,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-44,23.709,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-46,23.743,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-48,23.777,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-50,23.81,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-52,23.844,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-27-54,23.877,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-27-56,23.91,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-27-58,23.944,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-00,23.976,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-02,24.01,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-04,24.043,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-06,24.077,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-08,24.11,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-10,24.144,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-12,24.177,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-14,24.21,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-16,24.244,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-18,24.278,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-20,24.312,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-22,24.344,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-24,24.378,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-26,24.412,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-28-28,24.444,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-30,24.479,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-32,24.511,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-34,24.545,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-36,24.579,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-38,24.612,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-28-40,24.645,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-42,24.678,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-44,24.711,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-46,24.745,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-48,24.779,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-50,24.813,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-28-52,24.846,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-54,24.88,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-56,24.913,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-28-58,24.946,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-00,24.979,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-02,25.013,,,,,4.979,2.0,,,,,,,,cupcts
2020-03-17_13-29-04,25.046,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-06,25.08,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-29-08,25.114,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-10,25.147,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-12,25.181,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-14,25.214,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-16,25.247,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-29-18,25.281,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-20,25.314,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-22,25.347,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-24,25.381,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-26,25.414,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-28,25.448,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-30,25.481,,,,,4.903,2.0,,,,,,,,cupcts
2020-03-17_13-29-32,25.514,,,,,4.979,2.0,,,,,,,,cupcts
2020-03-17_13-29-34,25.548,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-36,25.581,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-38,25.614,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-40,25.647,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-42,25.681,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-44,25.714,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-46,25.748,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-48,25.78,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-50,25.814,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-52,25.848,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-54,25.881,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-29-56,25.914,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-29-58,25.948,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-30-00,25.981,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-02,26.014,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-04,26.048,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-06,26.081,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-08,26.114,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-30-10,26.148,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-12,26.181,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-14,26.214,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-16,26.248,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-30-18,26.282,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-30-20,26.316,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-30-22,26.349,,,,,4.849,2.0,,,,,,,,cupcts
